2019-11-02 00:55:49.2506 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-02 00:55:54.3226 | HotelEpam.Controllers.AccountController.Authorization | INFO | Отказ входа. некорректные данные 

2019-11-02 00:56:02.3370 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-02 00:56:02.3602 | HotelEpam.Controllers.AccountController.Authorization | INFO | Отказ входа. некорректные данные 

2019-11-02 00:56:04.3902 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-02 00:56:04.4035 | HotelEpam.Controllers.AccountController.Authorization | INFO | Отказ входа. некорректные данные 

2019-11-02 00:56:21.0709 | HotelEpam.Controllers.AccountController.Registration | DEBUG | Попытка создания нового пользователя 

2019-11-02 00:56:37.2539 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-02 00:56:37.3896 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для проверки подлиности данных авторизации 

2019-11-02 00:56:37.3957 | HotelEpam.Controllers.AccountController.Authorization | INFO | Пользователь aloha выполнил вход на сайт 

2019-11-02 00:56:52.4194 | HotelEpam.Controllers.AdminController.CreatingRoom | DEBUG | Обращение к базе данных, получение комнат 

2019-11-02 00:56:52.4795 | HotelEpam.Controllers.AdminController.CreatingRoom | INFO | Отказ в добавлении новой комнаты 

2019-11-02 00:56:58.2505 | HotelEpam.Controllers.AdminController.CreatingRoom | DEBUG | Обращение к базе данных, получение комнат 

2019-11-02 00:56:58.2555 | HotelEpam.Controllers.AdminController.CreatingRoom | DEBUG | Обращение к базе данных, для добавления новой комнаты 

2019-11-02 00:56:58.2555 | HotelEpam.Controllers.AdminController.CreatingRoom | INFO | В базу данных добавлена новая комната 

2019-11-02 00:57:00.5535 | HotelEpam.Controllers.AdminController.UpdateRoomStatus | DEBUG | Обращение к базе данных, получение комнат 

2019-11-02 00:57:09.7714 | HotelEpam.Controllers.AdminController.ProcessingOfRoomStatusUpdating | DEBUG | Обращение к базе данных, для обновления статуса комнаты 

2019-11-02 00:57:09.7714 | HotelEpam.Controllers.AdminController.ProcessingOfRoomStatusUpdating | INFO | Стату комнаты 203 обновлен 

2019-11-02 00:57:09.8366 | HotelEpam.Controllers.AdminController.UpdateRoomStatus | DEBUG | Обращение к базе данных, получение комнат 

2019-11-02 00:57:12.9429 | HotelEpam.Controllers.AdminController.UpdateRoomStatus | DEBUG | Обращение к базе данных, получение комнат 

2019-11-02 00:57:14.7003 | HotelEpam.Controllers.AdminController.CreatingRoom | DEBUG | Обращение к базе данных, получение комнат 

2019-11-02 00:57:14.7109 | HotelEpam.Controllers.AdminController.CreatingRoom | INFO | Отказ в добавлении новой комнаты 

2019-11-02 00:57:18.1972 | HotelEpam.Controllers.HomeController.Exit | INFO | Пользователь aloha покинул систему 

2019-11-02 00:57:36.2974 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для получения данных о пользователе 

2019-11-02 00:57:36.3270 | HotelEpam.Controllers.AccountController.Authorization | DEBUG | Обращение к базе данных для проверки подлиности данных авторизации 

2019-11-02 00:57:36.3270 | HotelEpam.Controllers.AccountController.Authorization | INFO | Пользователь aloha1 выполнил вход на сайт 

2019-11-02 00:57:54.3585 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение пользователя по логину 

2019-11-02 00:57:54.3695 | HotelEpam.Controllers.HomeController.UserBookings | DEBUG | Обращение к базе данных, получение комнат забронированых пользователем aloha1 

2019-11-02 00:57:54.5224 | HotelEpam.Controllers.HomeController.UserBookings | INFO | Возвращение забронированных пользователем комнат 

2019-11-02 00:58:06.4418 | HotelEpam.Controllers.HomeController.RoomReservation | DEBUG | Обращение к базе данных, получение комнат 

2019-11-02 00:58:20.8841 | HotelEpam.Controllers.HomeController.RoomReservation | DEBUG | Обращение к базе данных, получение комнат 

